1642;5;3;2;5;X;X;5;3;X;X;4;3;5;1;X;X;5;X;X;X;X;X;3;X;X;X;X;5;1;X;1;2;5;X;X;X;5;X;5;X;X;X;1;5;3;5;4;X;X;3;X;X;3;X;1;5;X;X;5;X;X;5;X;X;2;X;X;X;X;X;X;4;5;X;X;X;X;X;X;2;4;3;X;4;3;X;X;2;X;X;X;5;3;X;1;X;X;1;X;X;5;3;4;X;1;3;5;3;X;X;X;1;X;X;5;X;X;X;1;2;X;4;3;X;5;X;5;X;2;X;4;5;3;5;X;5;4;X;5;5;X;X;5;3;X;X;X;X;5;X;X;1;5;X;X;5;X;X;3;X;5;2;X;4;X;X;2;X;X;3;X;X;X;X;5;X;5;X;4;X;X;X;X;X;X;X;5;5;4;5;X;5;4;X;X;5;2;X;X;X
1102;X;X;X;0;3;1;X;X;5;1;4;X;3;X;X;X;X;X;X;2;5;1;X;X;4;X;X;2;X;2;X;3;2;X;X;4;2;5;3;4;X;5;X;X;X;X;X;4;2;X;2;4;2;1;X;X;X;X;X;X;X;X;X;4;X;X;2;X;X;X;X;X;X;5;X;4;X;X;X;4;X;X;1;X;5;X;2;2;3;1;3;1;X;X;3;3;1;2;3;3;X;X;1;X;3;3;X;1;3;2;2;X;2;X;X;X;X;1;X;2;3;X;X;2;2;3;2;2;X;4;X;X;3;X;X;X;X;X;X;X;X;4;1;X;X;X;X;X;X;4;X;2;X;X;X;4;X;X;3;4;X;4;2;X;X;X;X;2;3;X;X;2;3;X;2;X;3;2;X;X;X;2;X;3;1;1;3;X;2;X;2;1;X;X;2;X;X;X;2;X
549;X;X;X;0;1;X;X;1;X;0;0;0;X;3;0;X;0;4;0;X;1;0;0;X;0;1;X;1;0;X;3;X;X;X;5;X;X;X;X;0;X;4;0;X;X;X;X;0;1;2;X;X;0;0;1;X;0;X;X;0;X;2;1;X;4;X;X;5;0;X;X;X;1;5;X;X;0;X;0;X;0;4;X;X;1;X;X;X;0;X;1;0;5;X;0;X;X;1;5;X;1;0;0;3;X;X;X;0;3;X;0;X;X;X;X;X;X;X;0;5;X;X;1;X;X;X;X;X;0;1;X;X;0;0;X;3;4;X;X;X;X;X;2;4;X;2;X;X;X;1;0;X;X;3;1;X;X;X;X;X;X;X;X;X;0;X;0;2;X;0;4;0;X;1;5;X;X;4;X;X;0;1;X;0;X;X;X;X;5;3;0;X;X;0;X;X;X;0;X;X
1641;3;3;X;3;X;X;3;X;X;X;X;3;3;X;X;3;3;3;3;X;X;3;X;5;X;X;4;X;2;1;0;1;X;X;4;X;X;5;X;X;X;1;X;X;X;X;X;X;X;5;X;X;X;1;X;X;2;3;X;5;X;X;X;X;2;1;X;1;X;X;4;5;X;5;X;3;2;1;X;1;2;X;4;X;X;X;4;X;X;1;0;X;2;X;X;5;X;5;X;X;2;1;0;X;X;X;X;X;X;X;X;X;X;X;0;1;2;3;X;X;X;4;3;X;1;0;1;X;3;4;5;X;X;4;3;X;X;X;X;X;X;4;5;X;X;4;3;2;1;0;1;X;X;X;X;X;5;4;X;2;1;X;X;2;X;X;X;X;5;4;3;2;1;X;X;X;3;4;5;X;5;4;3;X;X;X;1;2;X;4;5;X;5;X;X;X;X;X;1;X
546;X;5;3;X;X;X;1;2;3;X;X;1;4;3;X;X;X;X;3;5;2;X;5;X;5;X;5;1;X;2;1;X;X;X;X;X;X;X;5;X;5;3;5;X;X;5;1;X;X;X;X;1;X;X;3;3;X;X;X;X;5;X;X;X;5;1;X;2;X;5;X;5;5;X;2;5;X;X;4;2;X;4;X;5;2;X;X;5;X;X;X;X;X;1;X;X;5;X;3;X;4;4;X;X;3;X;X;X;5;X;X;X;X;X;X;X;3;X;4;X;X;X;X;5;X;X;5;5;5;X;4;X;5;X;X;5;X;1;X;5;2;X;X;3;5;3;3;1;X;X;3;X;5;2;X;5;X;3;X;4;X;X;5;X;5;5;X;3;X;X;X;5;X;5;X;X;X;5;X;X;X;3;5;4;X;X;X;5;3;2;X;X;X;5;3;X;4;5;5;5
1096;X;X;X;1;0;4;3;X;X;X;X;X;X;X;4;1;X;1;X;X;2;X;X;X;X;X;1;X;1;4;2;X;3;2;X;3;2;X;X;X;X;X;X;4;2;4;X;X;X;5;5;5;X;5;X;X;X;5;5;X;X;5;X;5;5;X;5;5;5;X;5;5;X;X;5;5;5;X;5;X;5;X;X;5;5;5;X;X;5;5;X;X;5;X;5;5;X;X;5;5;X;X;5;X;5;X;5;5;X;X;5;X;X;X;X;5;5;5;X;X;X;X;X;X;5;5;X;X;5;X;5;5;X;5;X;5;X;X;X;X;5;5;X;X;5;X;5;X;5;X;X;X;5;X;X;5;5;5;5;X;X;X;X;X;5;5;X;5;X;5;5;5;5;X;X;5;X;X;X;5;X;5;X;5;X;5;X;X;X;5;X;X;X;X;X;X;5;5;5;5
5;X;2;X;X;2;X;3;X;4;X;X;X;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;3;X;X;X;X;5;5;3;3;X;X;X;3;X;4;X;4;X;X;X;4;X;4;X;X;X;X;4;4;4;4;4;4;X;X;X;4;X;X;4;4;4;4;4;X;X;4;4;4;X;X;X;4;X;X;4;4;X;4;4;X;X;X;X;X;X;X;4;X;4;X;4;4;X;X;X;X;X;4;X;X;X;4;4;X;X;X;4;X;4;X;X;4;4;4;4;X;4;4;4;4;X;4;4;X;4;X;X;4;4;X;X;X;4;4;X;4;X;4;4;4;4;X;X;X;X;X;4;X;X;4;4;4;4;4;4;4;4;X;4;4;X;4;X;4;4;X;X;4;4;4;X;X;4;4;X;X;4;4;X;4;4;4;4;4;X;X;X
559;3;1;4;0;2;5;5;X;4;2;X;4;5;2;1;0;2;5;X;2;X;X;X;2;2;2;X;2;X;X;2;X;X;X;2;X;X;X;X;X;X;X;X;X;2;X;X;X;2;X;2;X;2;2;X;X;X;X;X;2;2;X;X;2;X;2;2;2;2;2;X;2;X;X;2;2;2;2;X;X;2;X;2;X;X;2;X;3;1;5;2;3;3;3;X;X;X;X;X;X;1;X;X;5;X;X;2;X;3;X;X;5;X;3;4;1;X;5;X;3;5;X;5;X;X;3;X;X;X;2;3;X;1;2;X;X;0;X;X;4;X;X;X;2;X;X;X;X;X;X;X;X;5;X;X;X;X;4;X;X;3;2;X;4;X;4;X;X;4;X;X;X;X;5;X;X;X;1;4;X;2;X;2;X;X;X;4;2;2;X;1;5;X;1;X;2;X;X;X;X
12;X;X;2;5;X;4;X;X;X;1;5;X;1;X;X;X;2;5;1;X;X;X;3;X;X;X;X;X;5;X;X;X;X;X;4;X;4;5;X;X;4;5;X;X;5;X;X;4;2;4;X;X;X;2;2;X;X;X;X;X;X;2;X;2;2;2;2;2;X;X;X;2;2;X;2;X;2;2;X;X;X;X;2;2;X;2;2;2;2;2;2;X;X;2;2;X;X;2;2;2;X;X;X;2;X;X;X;X;2;2;X;2;2;2;X;2;2;2;2;X;X;X;2;2;2;X;2;X;X;2;X;2;X;X;2;2;2;2;X;X;2;2;X;X;X;2;2;2;X;X;X;X;X;X;2;X;X;2;X;X;X;2;X;2;X;X;2;X;X;X;X;X;X;X;X;X;X;2;X;X;2;2;2;2;2;X;2;X;X;2;X;X;2;2;2;2;X;X;2;2
1659;5;X;X;X;X;3;X;X;5;3;X;X;3;4;3;4;5;4;3;X;3;2;5;X;3;X;X;X;4;X;X;X;X;X;3;5;4;X;4;X;X;X;X;X;3;4;X;X;X;X;3;X;X;X;X;X;X;1;X;X;X;X;X;3;4;3;2;5;5;X;X;3;4;4;3;3;X;3;3;X;X;X;3;X;4;4;3;X;X;4;4;3;X;X;X;4;X;X;X;3;4;3;X;X;X;X;3;X;X;4;3;3;X;3;X;3;4;X;X;3;3;X;X;X;X;X;3;X;5;X;X;4;3;3;X;2;X;X;X;3;3;3;4;X;4;3;3;X;5;X;X;4;X;X;X;X;X;4;X;3;2;4;3;3;X;X;X;X;X;X;X;X;X;3;X;4;2;X;3;4;3;3;X;X;X;X;X;X;4;X;3;X;X;3;2;3;X;X;X;X
