0;320 = 0;vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;RJ4ySW2nNnFXDGzzqahI2ZxrsmhE4Pu8E5xeewvm
mAT5cZWeLmft0vgedM9CugB2ngPSVXQl5zX5o4Zy;28 = 0;!4;!1
a5DVwwaupMzfK2XymzmipduXoKIWZXbORCgP2VMH;22 = 0;!3;mAT5cZWeLmft0vgedM9CugB2ngPSVXQl5zX5o4Zy
RJ4ySW2nNnFXDGzzqahI2ZxrsmhE4Pu8E5xeewvm;34 = 0;!0;a5DVwwaupMzfK2XymzmipduXoKIWZXbORCgP2VMH
vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;0 = 0;!1;!1
vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;0 = 0;!1;!1
vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;0 = 0;!1;!1
vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;0 = 0;!1;!1
vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;0 = 0;!1;!1
vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;0 = 0;!1;!1
vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;0 = 0;!1;!1
vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;0 = 0;!1;!1
vmvBgzxEn5UYKdSwZOsM6cYg7VUTycqvInfDJEMj;0 = 0;!1;!1
